seq,tag,dbh,year,vigor_base2017,basal_area,bai,rbai,sap_vol,ssc,syrup_vol,crownclass2018,strata.pre,crownclass2020,strata.post,crown.class,ftg2017,pct.open.jan.2019,FTG2019,crown.area.2017,numb.taps2017
19,2810,12.25,2020,111.21709536,117.855486,1.9163174400000003,1.7230421580396866,18.83,1.08,0.29,i,lower,c,upper,i,0,225,3,163.83,13.5
20,323,NA,2016,157.24994615999998,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,200,3,397.83,NA
20,323,14.15,2017,157.24994615999998,157.24994615999998,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,200,3,397.83,NA
20,323,14.2,2018,157.24994615999998,158.36321663999996,1.1132704799999829,0.7079623918390682,34.09604573,1.2,0.52,c,upper,c,upper,c,0,200,3,397.83,NA
20,323,14.3,2019,157.24994615999998,160.60153824,2.2383216000000346,1.4234164492002868,28,1.4,0.5,c,upper,c,upper,c,0,200,3,397.83,NA
20,323,14.3,2020,157.24994615999998,160.60153824,0,0,25.63,1.1,0.39,c,upper,c,upper,c,0,200,3,397.83,NA
21,324,NA,2016,201.056256,NA,NA,NA,NA,NA,NA,s,lower,s,lower,s,0,315,4,392.38,NA
21,324,16,2017,201.056256,201.056256,NA,NA,NA,NA,NA,s,lower,s,lower,s,0,315,4,392.38,NA
21,324,16,2018,201.056256,201.056256,0,0,26.71990307,1.28,0.47,s,lower,s,lower,s,0,315,4,392.38,NA
21,324,16.2,2019,201.056256,206.11407744,5.057821439999998,2.515624999999999,36.9,1.6,0.7,s,lower,s,lower,s,0,315,4,392.38,NA
21,324,16.21,2020,201.056256,206.3686178016,0.25454036160002147,0.1266015625000107,22.45,1.51,0.51,s,lower,s,lower,s,0,315,4,392.38,NA
22,2813,15.1,2016,179.07358175999997,179.07358175999997,NA,NA,NA,NA,NA,i,lower,i,lower,c,0,0,0,243.34,22.5
22,2813,15.1,2017,179.07358175999997,179.07358175999997,0,NA,34.05,1.15,0.45,i,lower,i,lower,c,0,0,0,243.34,22.5
22,2813,15.1,2018,179.07358175999997,179.07358175999997,0,0,38.74022122,1.54,0.35,i,lower,i,lower,c,0,0,0,243.34,22.5
22,2813,15.19,2019,179.07358175999997,181.21459527359997,2.141013513600001,1.1956054559010576,55.8,1.4,0.9,i,lower,i,lower,c,0,0,0,243.34,22.5
22,2813,15.15,2020,179.07358175999997,180.26146296,-0.9531323135999799,-0.5322573571334479,34.68,0.92,0.53,i,lower,i,lower,c,0,0,0,243.34,22.5
23,2814,NA,2016,208.66654943999998,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,115,2,467.67,13
23,2814,16.3,2017,208.66654943999998,208.66654943999998,NA,NA,28.18,1.73,0.63,c,upper,c,upper,c,0,115,2,467.67,13
23,2814,16.5,2018,208.66654943999998,213.818616,5.152066560000009,2.4690428695095834,36.31862147,1.75,0.59,c,upper,c,upper,c,0,115,2,467.67,13
23,2814,16.7,2019,208.66654943999998,219.03351263999997,5.214896639999978,2.4991531484060268,61.1,1.9,1.3,c,upper,c,upper,c,0,115,2,467.67,13
23,2814,16.75,2020,208.66654943999998,220.34705399999999,1.3135413600000163,0.6294930181790888,54.09,1.32,1.1,c,upper,c,upper,c,0,115,2,467.67,13
24,2815,NA,2016,174.36132576,NA,NA,NA,NA,NA,NA,i,lower,c,upper,i,1,315,4,622.48,21
24,2815,14.9,2017,174.36132576,174.36132576,NA,NA,13.9,1.8,0.35,i,lower,c,upper,i,1,315,4,622.48,21
24,2815,14.9,2018,174.36132576,174.36132576,0,0,26.41108958,1.78,0.79,i,lower,c,upper,i,1,315,4,622.48,21
24,2815,15,2019,174.36132576,176.7096,2.348274239999995,1.3467861808026635,47.7,2.2,1.2,i,lower,c,upper,i,1,315,4,622.48,21
24,2815,15,2020,174.36132576,176.7096,0,0,36.51,1.69,0.95,i,lower,c,upper,i,1,315,4,622.48,21
25,325,NA,2016,123.69868344000001,NA,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,115,2,330.16,NA
25,325,12.55,2017,123.69868344000001,123.69868344000001,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,115,2,330.16,NA
25,325,12.7,2018,123.69868344000001,126.67329503999999,2.9746115999999745,2.4047237345438752,25.70310685,1.2,0.58,i,lower,c,upper,i,0,115,2,330.16,NA
25,325,12.95,2019,123.69868344000001,131.70951863999997,5.036223599999985,4.07136394660401,41.1,1.3,0.6,i,lower,c,upper,i,0,115,2,330.16,NA
25,325,13.05,2020,123.69868344000001,133.75149624,2.041977600000024,1.650767448135763,50.45,0.97,0.81,i,lower,c,upper,i,0,115,2,330.16,NA
26,2816,NA,2016,81.71051903999998,NA,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,90,1,179.14,1
26,2816,10.2,2017,81.71051903999998,81.71051903999998,NA,NA,23.38,1.1,0.32,i,lower,c,upper,i,0,90,1,179.14,1
